Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
17,Fc2,6,0.501431429636728,Target,08.12.2020
17,C3,6,0.931134479615158,Target,08.12.2020
17,Cz,6,2.0837934237301248,Target,08.12.2020
17,C4,6,1.0280196299312592,Target,08.12.2020
17,Pz,6,1.893568730347595,Target,08.12.2020
17,Fz,1,0.149258783095807,nonTarget,08.12.2020
17,Fc1,1,0.0876809715090106,nonTarget,08.12.2020
17,Fc2,1,0.4010135159019955,nonTarget,08.12.2020
17,C3,1,-0.0383935379878982,nonTarget,08.12.2020
17,Cz,1,-0.1386134802148097,nonTarget,08.12.2020
17,C4,1,0.2133885869770066,nonTarget,08.12.2020
17,Pz,1,-0.0251972658706721,nonTarget,08.12.2020
17,Fz,2,-0.0329048299526879,nonTarget,08.12.2020
17,Fc1,2,-0.0671404448570667,nonTarget,08.12.2020
17,Fc2,2,-0.4812559834625056,nonTarget,08.12.2020
17,C3,2,-0.3912430675683813,nonTarget,08.12.2020
17,Cz,2,-0.8333327385693321,nonTarget,08.12.2020
17,C4,2,-0.8564993161187893,nonTarget,08.12.2020
17,Pz,2,-0.5024725793511093,nonTarget,08.12.2020
17,Fz,3,1.2516753074129778,nonTarget,08.12.2020
17,Fc1,3,0.5746056898289836,nonTarget,08.12.2020
17,Fc2,3,0.8273783035829527,nonTarget,08.12.2020
17,C3,3,0.0364195382492543,nonTarget,08.12.2020
17,Cz,3,0.2552571174767779,nonTarget,08.12.2020
17,C4,3,0.6540750041014183,nonTarget,08.12.2020
17,Pz,3,-0.2407138873303629,nonTarget,08.12.2020
17,Fz,4,2.040216404379392,nonTarget,08.12.2020
17,Fc1,4,1.3790633602167155,nonTarget,08.12.2020
17,Fc2,4,0.7957517570004671,nonTarget,08.12.2020
17,C3,4,0.7677283003709932,nonTarget,08.12.2020
17,Cz,4,0.1220195176231925,nonTarget,08.12.2020
17,C4,4,0.2041295602753371,nonTarget,08.12.2020
17,Pz,4,-0.4955747533884049,nonTarget,08.12.2020
17,Fz,5,-0.8323359354168933,nonTarget,08.12.2020
17,Fc1,5,-0.8218047709568239,nonTarget,08.12.2020
17,Fc2,5,-0.6002025051356739,nonTarget,08.12.2020
17,C3,5,-0.8183530696082906,nonTarget,08.12.2020
17,Cz,5,-0.9902584455552248,nonTarget,08.12.2020
17,C4,5,-0.2632137990407871,nonTarget,08.12.2020
17,Pz,5,-0.4658186459823181,nonTarget,08.12.2020
17,Fz,6,-0.0984343134784778,nonTarget,08.12.2020
17,Fc1,6,-0.6405477862331787,nonTarget,08.12.2020
17,Fc2,6,-0.4447415172368427,nonTarget,08.12.2020
17,C3,6,-0.2885084434637516,nonTarget,08.12.2020
17,Cz,6,-0.4020115731081372,nonTarget,08.12.2020
17,C4,6,-0.381185087412443,nonTarget,08.12.2020
17,Pz,6,-0.1434405910143145,nonTarget,08.12.2020
21,Fz,1,-2.609359382743289,Target,12.12.2020
21,Fc1,1,1.2039009278207065,Target,12.12.2020
21,Fc2,1,0.1996473178299183,Target,12.12.2020
21,C3,1,2.49929860477928,Target,12.12.2020
21,Cz,1,1.889845656522429,Target,12.12.2020
21,C4,1,1.5659579114639717,Target,12.12.2020
21,Pz,1,3.0395940047096253,Target,12.12.2020
21,Fz,2,-0.6153563713446851,Target,12.12.2020
21,Fc1,2,0.9987290802719232,Target,12.12.2020
21,Fc2,2,0.2510153201192098,Target,12.12.2020
21,C3,2,1.601026229938715,Target,12.12.2020
21,Cz,2,1.031448413672612,Target,12.12.2020
21,C4,2,1.3673713252679875,Target,12.12.2020
21,Pz,2,0.8300518727664888,Target,12.12.2020
21,Fz,3,0.80922850732725,Target,12.12.2020
21,Fc1,3,0.7719984949072245,Target,12.12.2020
21,Fc2,3,1.1545571291537242,Target,12.12.2020
21,C3,3,0.7865031361812308,Target,12.12.2020
21,Cz,3,1.1323461830840909,Target,12.12.2020
21,C4,3,0.8278492393448706,Target,12.12.2020
21,Pz,3,0.998729231142607,Target,12.12.2020
21,Fz,4,0.3388141733516234,Target,12.12.2020
21,Fc1,4,3.2073521931599025,Target,12.12.2020
